domain,target_version,target_column,class,samples,percent
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a piperacilina/tazobactam + Coco Gram positivo resistente a ampicilina o penicilina,3,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ceftrixona o cefotaxima,3,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino,3,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a meropenem,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ciprofloxacino,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a meropenem,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a piperacilina/tazobactam,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a meropenem + Bacilo Gram negativo resistente a piperacilina/tazobactam,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ciprofloxacino,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a piperacilina/tazobactam + Coco Gram positivo resistente a ampicilina o penicilina,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ceftolozano/tazobactam + Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a piperacilina/tazobactam,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a cefepima,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Coco Gram positivo resistente a ampicilina o penicilina + Coco Gram positivo resistente a vancomicina,2,0.1
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a meropenem + Bacilo Gram negativo resistente a piperacilina/tazobactam,1,0.0
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ceftazidima/avibactam + Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a meropenem + Bacilo Gram negativo resistente a piperacilina/tazobactam,1,0.0
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a piperacilina/tazobactam,1,0.0
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a piperacilina/tazobactam,1,0.0
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a cefepima + Bacilo Gram negativo resistente a ciprofloxacino,1,0.0
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a ceftazidima + Bacilo Gram negativo resistente a ceftrixona o cefotaxima + Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a meropenem + Bacilo Gram negativo resistente a piperacilina/tazobactam,1,0.0
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico + Bacilo Gram negativo resistente a meropenem + Bacilo Gram negativo resistente a piperacilina/tazobactam,1,0.0
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ciprofloxacino + Bacilo Gram negativo resistente a meropenem,1,0.0
